CDH1,VIM,ASCL2,TCF4,MYC,CDKN2B,TIMP2,ZEB1
406.5542,116.1171,18.3749,2.7185,46.9486,149.1549,108.3562,12.4372
171.7597,200.3399,29.9814,7.348,107.086,15.763,168.076,13.1817
246.7457,40.9209,107.2907,1.6766,145.1919,8.1729,31.8219,3.0458
320.8956,72.408,585.5684,2.4137,432.8235,11.055,61.0674,5.1905
83.6786,25.2631,793.9768,0.3164,261.406,1.9552,14.8833,0.5244
289.9406,41.4883,2.3199,1.221,235.151,20.0367,46.7473,2.5217
316.9223,204.3684,10.1444,7.2767,53.7322,96.0445,236.5487,35.0321
375.7869,364.0286,108.992,10.5911,173.7485,30.8935,442.6977,14.7184
311.5453,55.7746,357.2658,1.4362,431.3763,17.2577,58.1206,2.9442
393.9699,73.7211,252.7359,1.6199,348.3405,8.9089,54.1637,2.2219
160.826,37.3694,399.4851,0.5695,185.5682,2.996,21.4983,1.0816
308.7866,122.7988,469.2496,2.0417,183.402,12.8732,68.049,3.5917
493.2474,89.5668,10.5654,2.4435,24.7107,142.7706,88.3474,5.0067
275.4586,106.9463,530.6699,2.1122,280.2725,5.3628,52.8064,3.1921
486.6097,66.6641,18.7046,2.4322,178.7046,40.7031,61.0953,5.2584
292.846,151.0715,357.3761,3.9427,102.1604,17.2874,134.157,6.0135
425.2096,44.3523,135.655,1.5082,138.8424,2.5714,23.2325,2.4604
454.7498,95.2189,224.9148,3.0277,267.1177,12.288,67.6761,5.4512
338.6066,63.9929,320.7394,1.7216,192.686,21.8503,51.0689,2.9108
393.8066,163.6087,250.3282,6.0334,572.048,28.4973,201.4898,19.3595
328.0423,53.0608,180.7923,1.5406,232.0267,4.5461,49.2767,2.7126
357.7806,128.6881,32.1527,2.745,209.0899,55.7344,168.0736,6.5062
394.6278,38.6092,237.7246,1.457,163.1736,6.7297,32.5296,3.7044
493.5882,137.5624,174.7724,5.0235,128.5577,3.7151,162.2225,35.621
647.8003,35.9341,728.4466,0.928,184.9278,2.7792,19.6747,1.5521
138.3783,169.3086,114.5833,2.8382,159.3716,10.3632,82.9511,4.5578
345.3903,171.5649,39.8091,6.3971,172.063,28.0153,151.7454,19.1546
373.0483,119.7117,440.2942,3.1197,463.1768,17.8283,116.2181,5.0176
181.0166,153.0395,632.9887,1.8695,269.0518,7.0807,81.5509,1.5934
373.9903,109.3616,175.4221,6.2791,292.3208,15.2461,114.8261,8.0371
154.3536,110.7241,69.056,1.982,86.0871,23.6998,134.3248,5.5133
300.2905,65.4833,128.4982,2.9385,190.4127,4.5066,135.2753,4.6889
959.0894,39.0013,271.7073,1.7064,202.0334,4.0762,45.2375,2.8364
249.4305,115.7948,239.4373,2.2418,203.0725,15.0886,76.8613,3.731
379.097,18.1878,132.0992,0.7358,116.3449,5.0286,9.4253,1.6021
118.6704,70.123,430.8429,0.8388,138.3738,5.2477,89.3834,1.9124
395.6577,39.983,260.4941,1.9769,211.5453,3.3974,44.9245,3.9389
285.2634,239.9231,12.8117,10.5798,7.457,25.2319,380.994,21.7659
599.7485,82.0204,68.9519,6.3444,92.4511,7.6825,108.0253,10.0197
282.3437,162.9593,8.9042,5.2242,44.1943,75.2705,169.8865,22.1006
174.9369,385.2619,2.9138,10.147,69.4756,18.9518,488.5069,14.9629
263.938,18.411,406.4975,0.4459,139.3825,1.2878,4.6294,0.5881
406.7389,91.579,9.6643,3.5654,30.9979,141.1072,84.3208,9.9573
348.8388,111.4781,2.4077,3.6815,119.5714,10.5235,118.3294,5.918
338.2189,43.9181,484.0133,1.4318,75.6036,2.9975,30.755,2.3668
185.873,105.513,28.9185,1.8765,102.9427,6.5662,92.9935,2.5106
152.248,375.6509,0.8743,11.8098,37.0876,121.3814,1109.8173,24.9204
447.1815,57.6864,134.3525,2.0274,80.5987,3.6803,37.0446,3.3292
353.0887,69.897,11.3294,1.4341,83.0567,13.4787,83.6944,3.7366
393.5346,126.1139,279.4431,2.773,279.4481,6.8773,88.2205,5.9029
478.5474,42.9185,172.5154,1.0742,214.2014,3.3273,19.8975,1.9709
412.9222,252.4765,386.0223,5.2429,170.5243,18.2913,211.7757,9.3825
189.7612,29.8077,546.1364,0.77,239.2647,3.7106,25.7253,1.1289
188.6256,86.8286,131.2234,1.5286,118.1482,23.567,85.3004,2.5163
